creationDate|Person.id|Language.id|type
2011-02-28T08:13:29.086Z|13194139533342|22|SPEAKS
2011-02-28T08:13:29.086Z|13194139533342|8|SPEAKS
2011-02-28T08:13:29.086Z|13194139533342|5|SPEAKS
2011-07-26T21:41:34.142Z|19791209299968|24|SPEAKS
2011-07-26T21:41:34.142Z|19791209299968|28|SPEAKS
2011-07-26T21:41:34.142Z|19791209299968|5|SPEAKS
2012-03-30T10:11:12.788Z|28587302322180|5|SPEAKS
2012-03-30T10:11:12.788Z|28587302322180|3|SPEAKS
2012-04-08T11:47:54.301Z|28587302322204|22|SPEAKS
2012-04-08T11:47:54.301Z|28587302322204|5|SPEAKS
2010-10-28T05:49:29.470Z|8796093022237|30|SPEAKS
2010-10-28T05:49:29.470Z|8796093022237|5|SPEAKS
2011-12-29T07:56:39.032Z|24189255811081|1|SPEAKS
2011-12-29T07:56:39.032Z|24189255811081|20|SPEAKS
2011-12-29T07:56:39.032Z|24189255811081|5|SPEAKS
2012-07-03T00:55:16.938Z|30786325577731|20|SPEAKS
2012-07-03T00:55:16.938Z|30786325577731|5|SPEAKS
2011-08-04T04:47:58.173Z|19791209299987|5|SPEAKS
2011-08-04T04:47:58.173Z|19791209299987|26|SPEAKS
2011-06-24T17:11:54.199Z|17592186044443|18|SPEAKS
2011-06-24T17:11:54.199Z|17592186044443|5|SPEAKS
2011-01-09T19:16:37.913Z|13194139533355|14|SPEAKS
2011-01-09T19:16:37.913Z|13194139533355|15|SPEAKS
2011-01-09T19:16:37.913Z|13194139533355|5|SPEAKS
2011-05-11T19:46:47.595Z|17592186044461|9|SPEAKS
2011-05-11T19:46:47.595Z|17592186044461|10|SPEAKS
2011-05-11T19:46:47.595Z|17592186044461|5|SPEAKS
2012-08-09T21:35:41.016Z|32985348833329|15|SPEAKS
2012-08-09T21:35:41.016Z|32985348833329|23|SPEAKS
2012-08-09T21:35:41.016Z|32985348833329|5|SPEAKS
2012-03-17T14:21:07.120Z|28587302322223|23|SPEAKS
2012-03-17T14:21:07.120Z|28587302322223|21|SPEAKS
2012-03-17T14:21:07.120Z|28587302322223|5|SPEAKS
2012-02-03T03:26:31.722Z|26388279066655|4|SPEAKS
2012-02-03T03:26:31.722Z|26388279066655|5|SPEAKS
2010-03-24T18:14:04.882Z|2199023255557|16|SPEAKS
2010-03-24T18:14:04.882Z|2199023255557|5|SPEAKS
2010-03-21T12:25:42.685Z|2199023255594|0|SPEAKS
2010-03-21T12:25:42.685Z|2199023255594|9|SPEAKS
2010-03-21T12:25:42.685Z|2199023255594|5|SPEAKS
2010-12-24T05:25:34.086Z|10995116277782|11|SPEAKS
2010-12-24T05:25:34.086Z|10995116277782|5|SPEAKS
2010-01-03T15:10:31.499Z|14|7|SPEAKS
2010-01-03T15:10:31.499Z|14|13|SPEAKS
2010-01-03T15:10:31.499Z|14|5|SPEAKS
2010-02-12T22:05:24.513Z|32|6|SPEAKS
2010-02-12T22:05:24.513Z|32|5|SPEAKS
2010-09-28T17:46:50.451Z|8796093022244|14|SPEAKS
2010-09-28T17:46:50.451Z|8796093022244|2|SPEAKS
2010-09-28T17:46:50.451Z|8796093022244|5|SPEAKS
2011-10-06T01:23:31.981Z|21990232555526|30|SPEAKS
2011-10-06T01:23:31.981Z|21990232555526|5|SPEAKS
2012-02-26T23:41:53.145Z|26388279066668|20|SPEAKS
2012-02-26T23:41:53.145Z|26388279066668|5|SPEAKS
2012-08-06T10:01:33.641Z|32985348833318|6|SPEAKS
2012-08-06T10:01:33.641Z|32985348833318|5|SPEAKS
2012-01-10T19:44:54.406Z|26388279066632|25|SPEAKS
2012-01-10T19:44:54.406Z|26388279066632|5|SPEAKS
2011-10-17T04:08:45.182Z|21990232555527|30|SPEAKS
2011-10-17T04:08:45.182Z|21990232555527|5|SPEAKS
2011-03-12T15:40:42.861Z|15393162788877|27|SPEAKS
2011-03-12T15:40:42.861Z|15393162788877|5|SPEAKS
2010-11-21T16:16:26.476Z|10995116277783|5|SPEAKS
2010-01-31T13:13:03.929Z|16|18|SPEAKS
2010-01-31T13:13:03.929Z|16|5|SPEAKS
2010-11-25T20:18:45.744Z|10995116277808|17|SPEAKS
2010-11-25T20:18:45.744Z|10995116277808|5|SPEAKS
2012-06-26T12:37:35.179Z|30786325577740|6|SPEAKS
2012-06-26T12:37:35.179Z|30786325577740|5|SPEAKS
2012-01-16T00:09:40.120Z|26388279066658|6|SPEAKS
2012-01-16T00:09:40.120Z|26388279066658|5|SPEAKS
2010-08-08T01:41:16.348Z|6597069766702|6|SPEAKS
2010-08-08T01:41:16.348Z|6597069766702|5|SPEAKS
2011-02-19T10:23:00.379Z|13194139533352|19|SPEAKS
2011-02-19T10:23:00.379Z|13194139533352|5|SPEAKS
2012-03-13T15:16:08.597Z|28587302322196|0|SPEAKS
2012-03-13T15:16:08.597Z|28587302322196|29|SPEAKS
2012-03-13T15:16:08.597Z|28587302322196|5|SPEAKS
2010-09-17T21:25:01.182Z|8796093022234|15|SPEAKS
2010-09-17T21:25:01.182Z|8796093022234|12|SPEAKS
2010-09-17T21:25:01.182Z|8796093022234|5|SPEAKS
2012-01-12T23:55:02.878Z|26388279066641|20|SPEAKS
2012-01-12T23:55:02.878Z|26388279066641|5|SPEAKS
2010-11-13T15:50:09.443Z|10995116277761|5|SPEAKS
2010-11-13T15:50:09.443Z|10995116277761|9|SPEAKS
2012-09-05T01:03:26.184Z|32985348833291|30|SPEAKS
2012-09-05T01:03:26.184Z|32985348833291|5|SPEAKS
2010-04-18T01:27:21.494Z|2199023255573|28|SPEAKS
2010-04-18T01:27:21.494Z|2199023255573|5|SPEAKS
2012-09-09T02:13:37.511Z|35184372088871|20|SPEAKS
2012-09-09T02:13:37.511Z|35184372088871|5|SPEAKS
2012-04-25T02:31:06.437Z|28587302322209|0|SPEAKS
2012-04-25T02:31:06.437Z|28587302322209|9|SPEAKS
2012-04-25T02:31:06.437Z|28587302322209|5|SPEAKS
2011-11-07T16:24:26.837Z|24189255811109|30|SPEAKS
2011-11-07T16:24:26.837Z|24189255811109|5|SPEAKS
2012-03-19T21:30:34.350Z|28587302322191|30|SPEAKS
2012-03-19T21:30:34.350Z|28587302322191|5|SPEAKS
