creationDate|Person.id|Organisation.id|classYear|type
2011-07-26T21:41:34.142Z|19791209299968|3011|2005|STUDY_AT
2012-03-30T10:11:12.788Z|28587302322180|7936|2005|STUDY_AT
2012-07-03T00:55:16.938Z|30786325577731|5986|2003|STUDY_AT
2011-08-04T04:47:58.173Z|19791209299987|7953|2005|STUDY_AT
2011-06-24T17:11:54.199Z|17592186044443|5804|2003|STUDY_AT
2011-01-09T19:16:37.913Z|13194139533355|3014|2006|STUDY_AT
2011-05-11T19:46:47.595Z|17592186044461|5236|2007|STUDY_AT
2012-08-09T21:35:41.016Z|32985348833329|3008|1999|STUDY_AT
2012-03-17T14:21:07.120Z|28587302322223|6346|2005|STUDY_AT
2012-02-03T03:26:31.722Z|26388279066655|2832|2001|STUDY_AT
2010-03-24T18:14:04.882Z|2199023255557|1953|2008|STUDY_AT
2010-03-21T12:25:42.685Z|2199023255594|1597|2002|STUDY_AT
2010-12-24T05:25:34.086Z|10995116277782|4742|2007|STUDY_AT
2010-01-03T15:10:31.499Z|14|4593|2004|STUDY_AT
2010-02-12T22:05:24.513Z|32|5047|2002|STUDY_AT
2010-09-28T17:46:50.451Z|8796093022244|3008|2008|STUDY_AT
2011-10-06T01:23:31.981Z|21990232555526|2209|2007|STUDY_AT
2012-01-10T19:44:54.406Z|26388279066632|1580|2005|STUDY_AT
2011-10-17T04:08:45.182Z|21990232555527|2208|2005|STUDY_AT
2011-03-12T15:40:42.861Z|15393162788877|6612|2008|STUDY_AT
2010-11-21T16:16:26.476Z|10995116277783|6797|2008|STUDY_AT
2010-01-31T13:13:03.929Z|16|5809|2004|STUDY_AT
2010-11-25T20:18:45.744Z|10995116277808|5189|2004|STUDY_AT
2012-06-26T12:37:35.179Z|30786325577740|2435|2008|STUDY_AT
2010-08-08T01:41:16.348Z|6597069766702|5038|2005|STUDY_AT
2011-02-19T10:23:00.379Z|13194139533352|1856|2009|STUDY_AT
2012-03-13T15:16:08.597Z|28587302322196|5036|2007|STUDY_AT
2010-09-17T21:25:01.182Z|8796093022234|3008|2005|STUDY_AT
2012-01-12T23:55:02.878Z|26388279066641|5142|2001|STUDY_AT
2010-11-13T15:50:09.443Z|10995116277761|2945|2004|STUDY_AT
2012-09-05T01:03:26.184Z|32985348833291|2211|2001|STUDY_AT
2010-04-18T01:27:21.494Z|2199023255573|5263|2007|STUDY_AT
2012-09-09T02:13:37.511Z|35184372088871|5985|2003|STUDY_AT
2012-04-25T02:31:06.437Z|28587302322209|1596|2002|STUDY_AT
2012-03-19T21:30:34.350Z|28587302322191|2208|1999|STUDY_AT
